tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,target
2.9590600246,3.0798852042,8.3810253919,9.7807544322,3.7630847721,-0.782603631,-1.2573948296,-1.7230863115,0.6504564609,0.8595781058,0.8874449206,0.9580339876,0.0553474892
9.3040972347,4.902524112,3.0475407276,1.3693573553,5.0678121043,-1.9400584271,-1.8727416856,-1.2550119916,0.4134405684,0.8624140764,0.5621390505,0.7817599107,-0.0059574643
8.9717069093,8.8484284213,3.046478749,1.2145181383,3.40515818,-1.2074555923,-1.2772101467,-0.9204924409,0.1630410393,0.7666886565,0.8394440154,0.109853245,0.003470879
0.7164147763,7.6695996441,4.4866408306,2.340562984,3.9637910633,-1.0274733041,-1.9389441526,-0.9973736065,0.4462089065,0.9767440829,0.9293805229,0.3627177743,0.0288705434
3.1341115516,7.608771616,4.9437593018,9.85757327,3.5258108165,-1.1255309545,-1.8459748545,-0.5543050075,0.7971095258,0.4554499471,0.6569466585,0.8209234865,0.0498603735
6.9992087092,9.1092467164,3.7840659094,4.2677876034,4.4296688228,-1.8571391769,-0.6703968275,-1.9021328185,0.2617928541,0.0779296722,0.5428838585,0.4699310413,-0.0173849069
6.7101663676,3.7652041835,6.9293144387,8.8185619235,2.3974192294,-0.6145895619,-1.2088258914,-0.5740037761,0.1778895611,0.3979765801,0.4020459521,0.3766302792,0.0059535706
6.9535115578,1.3791250023,5.7194000302,7.870307426,3.2244951579,-0.7489977512,-1.1865169284,-1.2889804783,0.3713848526,0.6332035554,0.7327408943,0.3805444786,0.0166342975
4.6898519275,4.0077474621,1.4785728759,3.7337874923,4.0412996137,-1.4103443123,-1.2382042757,-1.3927510256,0.2697082707,0.2503642172,0.1649411185,0.482439411,-0.0386765836
9.8414964883,1.4138215918,9.7698555487,7.6416162633,4.727595042,-1.9913633678,-0.8576372069,-1.8785944673,0.3763559806,0.5444153158,0.7920394246,0.1162628224,0.0123834142
5.9301101176,6.7308733744,6.2451379005,0.5332875128,2.3270915929,-0.702501235,-1.1169196297,-0.5076707282,0.2398156329,0.5631095937,0.1644610282,0.7537013559,-0.0284114613
5.3812992565,8.014521017,8.0951741572,6.7692476992,5.507551005,-1.9727138542,-1.8493325798,-1.6855045711,0.3599740251,0.1735688166,0.3491438509,0.6288604238,0.0281302
1.6167868371,2.939228107,0.8197911862,4.1918038491,3.7522819143,-1.4848845453,-1.280581451,-0.986815918,0.8996982494,0.8665457963,0.3039205778,0.0776101261,-0.0486167008
8.5515982096,8.3149522234,2.5499638296,9.9268072811,4.8917137354,-1.8086262668,-1.1670612346,-1.916026234,0.6124035292,0.2809828575,0.3543424879,0.4721920777,0.0277556924
1.1321075936,2.9203240233,8.9510785447,7.248583478,5.0336805533,-1.8460795422,-1.3627774086,-1.8248236025,0.3522919907,0.5241728822,0.599003856,0.6743898683,0.0148804322
7.0213619999,4.3742936389,4.7759041583,8.8384259483,3.3358574613,-0.9623917812,-1.4076269527,-0.9658387274,0.7110995083,0.6253638239,0.4683349697,0.895143061,0.0725083556
4.9522409048,8.0886723523,8.8833186562,5.6945572196,5.0672957763,-1.6814141949,-1.8770612876,-1.5088202937,0.3056620265,0.3079038419,0.8898938928,0.8794279079,0.0656172044
4.1428304011,2.4390892077,1.2904559402,9.4564431889,3.9347959177,-1.4692986977,-1.7669412589,-0.6985559612,0.8007567455,0.8408071292,0.9178334359,0.7939818117,-0.0069658281
9.3461259437,7.9200298476,2.3352763077,3.2691813284,4.5811739171,-1.1067526802,-1.7470776394,-1.7273435975,0.8360762377,0.7132535781,0.1615178537,0.515983285,0.0413744065
3.9319535919,9.1808897082,6.064480326,6.2921474261,5.363996303,-1.6950849073,-1.8802731782,-1.7886382175,0.8372636689,0.6117806353,0.2106922844,0.6974653291,0.0527814508
8.6768945572,5.5833252893,4.9254018998,7.3562122897,2.8282473301,-1.3967319885,-0.9292895576,-0.5022257841,0.5950034454,0.9836507294,0.2455711848,0.4541554941,0.06249051
7.3831766285,5.2531734829,0.9245165717,0.744899381,3.9761046777,-1.4292187865,-1.4249510783,-1.1219348129,0.42551366,0.5611657185,0.1396273475,0.0767506791,-0.02687787
4.5418291415,1.9698615747,8.5131929071,7.5620355586,4.362834688,-1.6264137367,-1.7617312221,-0.9746897293,0.4097851011,0.1213973659,0.1658879066,0.4579821324,-0.0162274499
5.973186478,6.0431184892,5.9960449837,1.0769395824,3.8282181145,-0.9895491425,-1.0790257196,-1.7596432524,0.3504749358,0.1281543945,0.5488609072,0.5039742378,-0.0230131339
7.253346068,7.7335166234,1.6210908105,7.8906103804,3.5672402739,-1.3778547573,-1.4495323023,-0.7398532142,0.936087467,0.9277223307,0.8242216054,0.1004717282,0.0478606522
6.1924814345,2.533877298,1.6623797426,5.1639235448,3.4623920899,-1.3559537419,-1.4328456415,-0.6735927066,0.1682770258,0.4084948184,0.3285414831,0.2535858366,-0.0361195581
5.8956934523,1.0963019594,1.311731853,8.7778683729,4.0691696247,-1.063139214,-1.3744267135,-1.6316036972,0.8677906016,0.1418388509,0.3432624394,0.7118985978,0.0200877564
0.7270767907,6.4255541863,6.2690939493,0.7869108584,2.9131788669,-1.1878661313,-0.687734539,-1.0375781966,0.4714421032,0.0613288484,0.2219050268,0.6476167928,-0.046374166
1.8078187229,7.0203557751,6.6769289028,5.1696482272,3.6722876429,-1.1884705892,-0.8191637666,-1.6646532871,0.1276577328,0.160127434,0.17172401,0.8384035036,-0.0086384123
9.0341466364,1.0716349999,5.478341988,9.4125249187,3.405139476,-1.1632525381,-1.6539544527,-0.5879324853,0.2536088756,0.7786704801,0.2870255612,0.221631367,-0.0332449176
4.4778961518,2.1595815183,3.5768968997,1.7958458437,2.9517722521,-1.5403692215,-0.8822048312,-0.5291981994,0.7025992461,0.3978605029,0.7850964909,0.6436295754,0.0331769812
3.432548621,0.9440683744,3.3247713012,7.7353563669,4.1346244534,-1.4959491608,-1.3986900331,-1.2399852596,0.4089737182,0.3922260794,0.3309087298,0.6559990061,-0.0229132907
4.7807133009,8.4533425575,2.755187946,4.2497892914,4.1121045995,-1.1541575761,-1.1584030416,-1.7995439817,0.0633621938,0.9875073049,0.7919122546,0.2926343882,0.0212336271
9.9360503533,4.4065415831,6.825482566,4.8551365944,4.1495339779,-0.962996982,-1.4916451092,-1.6948918866,0.9556175892,0.7875574456,0.6678517217,0.6371856719,0.0761082549
3.6990955756,7.8806903123,8.2912442147,2.3712378862,3.3741802473,-0.5904518606,-1.5791709801,-1.2045574066,0.2756126276,0.0821056083,0.6621425741,0.0616653438,-0.0140024979
9.8534618112,7.1810228316,1.6890837551,1.7054919867,2.388583971,-0.6767580564,-0.5106179685,-1.2012079462,0.9536206118,0.6577517758,0.7882642751,0.0826596368,0.0213854244
7.2129675239,3.8157198571,8.866207982,6.5177570695,2.7964002172,-1.6524648425,-0.547151334,-0.5967840407,0.4179930536,0.0585230183,0.578285994,0.3144340995,0.0220062434
9.6599199828,5.0121189482,0.7911747173,7.4372370971,3.8865796121,-1.6822521869,-1.0699143357,-1.1344130895,0.3543854053,0.7789985718,0.3150344922,0.6384211007,0.0247329005
2.4822027842,2.9844034696,4.9337854543,1.8918126075,2.6218038868,-0.9103730433,-0.847904197,-0.8635266465,0.3164140397,0.5988360134,0.2639530335,0.8883161185,-0.0193477374
1.4921887261,9.7970929674,2.5528106305,7.1946964794,3.8489932542,-1.8514937935,-1.414036107,-0.5834633537,0.7994815155,0.6543330898,0.3216378164,0.2687896697,-0.0270085576
8.2342191182,8.8352561717,1.5993454488,7.6204010307,3.9809600253,-1.6546556264,-0.6000655525,-1.7262388464,0.8121498869,0.1438505095,0.9801089424,0.6540952102,0.0253997261
4.8619032997,6.1453451213,8.8116219449,9.2421287545,3.0051820262,-1.58959435,-0.8142550471,-0.6013326291,0.2234981487,0.1480337245,0.6879159289,0.9032219199,0.0528775753
4.0440708076,8.7379676103,0.8965892308,8.462014575,3.543054839,-1.6522742151,-0.58377446,-1.3070061639,0.7775716763,0.4526604685,0.5375675114,0.7558479441,0.0219242218
4.1305934207,6.0020963227,1.6551735824,1.5487729401,2.8228800602,-1.1477546813,-1.0153657674,-0.6597596115,0.783161161,0.7055857184,0.3640663095,0.6178261725,0.0166199766
3.8665273086,2.6858476465,8.289289749,4.7669860113,3.9614292073,-0.7634826803,-1.9651851882,-1.2327613388,0.7816534181,0.8323370071,0.862932945,0.2382823816,0.0407049278
9.234696811,5.4075590016,3.7615992333,5.1724680648,2.7281684148,-0.5504076445,-1.5538809707,-0.6238797996,0.62520696,0.0894221245,0.0720080936,0.1726362918,-0.0119701231
8.3940450351,5.748692331,1.9725284881,5.5685669621,3.3690955439,-0.6640445296,-1.3493185702,-1.3557324441,0.7820840761,0.3675488331,0.2186387419,0.13318199,0.0124998182
4.352223081,4.9595153564,7.1296566981,3.8015499289,4.2773125852,-1.5514186627,-1.2169046568,-1.5089892657,0.7992120761,0.6263406947,0.7608789618,0.5048798715,0.0747535737
7.6607957944,1.3003167869,7.6464417416,6.7783551261,3.6613034514,-1.3153700087,-1.8260114034,-0.5199220393,0.5488370567,0.1798551403,0.528381543,0.7223530929,0.0457268022
9.8181280945,0.5115971425,8.5889874032,5.2600722629,3.3956362338,-1.1078570249,-1.4786769085,-0.8091023003,0.9312873413,0.5999625284,0.291643316,0.3842946399,0.0111887104
0.5040142617,1.142094066,6.6514265292,4.5272274964,4.32815601,-1.7483229786,-1.8235575706,-0.7562754609,0.1293877314,0.2252954772,0.31279703,0.6584538309,-0.0188099068
6.5877430764,8.5527752254,6.7169607371,7.9174090389,3.8886966306,-1.4162437925,-0.7526037582,-1.7198490799,0.5439173382,0.5847764501,0.9708927792,0.7271722294,0.0890725719
9.2857540372,1.0522547691,3.3445548612,8.7910407845,3.424644092,-0.9897383548,-0.6939161835,-1.7409895537,0.8909492504,0.1793889649,0.7041583768,0.7062390511,0.0416851645
5.1502075715,6.9703773834,9.9040621207,1.0848281546,4.2749140576,-1.562088634,-1.0797197808,-1.6331056427,0.6905853614,0.6823933579,0.8081175051,0.4812290809,0.0416894265
6.7452143531,3.1271231211,3.9271653024,7.7579885066,3.408459381,-0.8462312233,-0.6883768109,-1.8738513468,0.7578667069,0.832285771,0.3794935416,0.2426689075,0.0354861065
4.7297976598,8.4347406686,2.2072805547,9.0011359286,4.2088646791,-1.8946163315,-0.9844374818,-1.3298108658,0.5296853047,0.3968115065,0.5808408918,0.9790857876,0.0413554489
9.970413271,5.9685818207,2.3426231161,3.083516067,3.7721082352,-1.546062539,-0.9647704689,-1.2612752273,0.4271418328,0.9723746025,0.3873675998,0.903835773,0.0344256496
2.9180495395,1.4927887078,8.6343761463,3.2898057722,3.9288223076,-1.5807685334,-0.7357089194,-1.6123448549,0.3158256015,0.8178724518,0.762099199,0.2780328809,-0.0287598082
4.9852500461,5.3163068004,2.6232298392,6.9079256096,3.5400587844,-0.5422702837,-1.8497430029,-1.1480454978,0.9552317159,0.1613744353,0.3180920707,0.9539967461,0.0602670018
7.4763712559,5.7114067178,7.3825527964,9.3775222171,2.8441250067,-1.05923268,-0.6936796382,-1.0912126884,0.1711556939,0.5114839603,0.8353348173,0.5190067817,0.0558671054
3.9898504246,9.5459887776,1.2191374458,7.3544582501,3.9651008976,-0.5872589499,-1.54570457,-1.8321373777,0.4429278704,0.6121554738,0.3043967076,0.1998374252,-0.0091852265
4.5576170075,4.3113265119,5.6138436314,9.2596169272,3.8520701984,-1.0632671583,-0.9508334027,-1.8379696375,0.9751592837,0.9575790402,0.3861463253,0.5156846645,0.0721567593
4.6145370487,1.451485635,1.4426375147,5.041854829,4.4820750724,-1.6942601794,-1.3116576272,-1.4761572658,0.6291632889,0.1981495749,0.1484541045,0.3867839964,-0.0210290239
5.3414059579,7.4387912236,7.6365871968,3.3129849944,4.3668310725,-1.8761382733,-1.1148464888,-1.3758463104,0.3788460945,0.8964043402,0.4780295951,0.7346246208,0.059655027
9.6453920964,7.9032354937,8.7730784798,5.983644443,3.8728753786,-1.7795638734,-1.2995633627,-0.7937481424,0.9445644448,0.658796398,0.1090688326,0.4791678828,0.0623699284
9.8550531905,5.0294807964,4.6599794846,8.8138932205,4.7783938397,-1.9633632512,-1.5098321071,-1.3051984813,0.1898020707,0.9121711118,0.9943934006,0.6741766503,0.0707315534
6.1268457337,2.4620513299,5.5931306367,1.7416410867,3.6540196857,-1.2748200707,-1.2878289663,-1.0913706487,0.5686037931,0.5750001263,0.2936826476,0.6960362756,-0.0092251297
6.5125061769,1.0700516653,3.4218399508,7.3901351365,3.7427741788,-1.5059986176,-1.1752459829,-1.0615295783,0.8036099513,0.6338884609,0.745796032,0.7809032864,0.0435536568
4.7790050651,6.9647426161,5.5673134308,5.5519378783,2.9865353963,-1.4049312196,-0.5736714335,-1.0079327432,0.3802994848,0.1878998339,0.4578569001,0.376601651,0.0107949107
5.9522660597,3.2645610734,7.9735775121,9.4397975615,3.9636254463,-1.2894055482,-1.4274249523,-1.2467949458,0.1200521004,0.0991265443,0.1458850095,0.138765299,-0.0478180617
4.0205198251,0.9707334548,3.6117175883,3.0773681648,3.4956271031,-0.8194455238,-0.9653435886,-1.7108379907,0.5669634331,0.7380871017,0.9198924945,0.4353575526,0.027017003
8.8922340878,2.7704270709,4.1279254787,8.7295746806,4.8531230868,-1.8307160983,-1.6777746599,-1.3446323286,0.1966568925,0.2130100727,0.7227044673,0.799246779,0.0261186227
8.1373399572,6.5418555507,0.9525496055,7.2733948499,3.6006967995,-1.1984559706,-0.6741481037,-1.7280927251,0.459142625,0.925649928,0.0687466752,0.3523893935,0.04215532
9.3951417281,2.2962314623,7.4471990223,3.3049478121,3.682206529,-1.0588921394,-1.3477868757,-1.2755275139,0.6304387867,0.3487983365,0.0593324469,0.829695887,-0.0142250258
2.9360387471,3.84992606,0.6377528981,9.2656470019,3.4604671198,-1.5250046029,-1.3839550218,-0.5515074951,0.7459667798,0.9033236196,0.0813262773,0.7372052639,0.0113206564
6.8716495477,8.8289110842,0.8135693974,2.2296658307,3.8390403848,-1.7967879386,-0.8084319243,-1.2338205219,0.9760994302,0.5487523973,0.3130125943,0.1022430054,0.023270038
